iter	Passed	Remaining
410	4309	6176
411	4320	6165
412	4330	6155
413	4341	6145
414	4352	6135
415	4363	6125
416	4374	6115
417	4384	6104
418	4394	6093
419	4404	6082
420	4414	6071
421	4424	6060
422	4435	6049
423	4445	6038
424	4455	6027
425	4465	6016
426	4475	6005
427	4485	5995
428	4496	5984
429	4506	5974
430	4517	5963
431	4527	5953
432	4538	5943
433	4549	5932
434	4559	5922
435	4569	5911
436	4580	5900
437	4589	5889
438	4600	5878
439	4610	5867
440	4620	5856
441	4629	5845
442	4639	5833
443	4649	5822
444	4659	5811
445	4670	5800
446	4680	5789
447	4690	5779
448	4701	5769
449	4711	5758
450	4721	5747
451	4731	5735
452	4741	5725
453	4751	5714
454	4761	5703
455	4771	5692
456	4781	5681
457	4791	5670
458	4801	5659
459	4811	5648
460	4821	5637
461	4832	5627
462	4842	5616
463	4852	5606
464	4863	5595
465	4873	5584
466	4882	5573
467	4892	5562
468	4902	5551
469	4913	5540
470	4923	5529
471	4933	5519
472	4944	5508
473	4954	5498
474	4964	5487
475	4975	5476
476	4985	5466
477	4995	5455
478	5005	5444
479	5016	5434
480	5026	5423
481	5036	5412
482	5046	5401
483	5056	5391
484	5066	5380
485	5077	5369
486	5087	5358
487	5097	5348
488	5107	5337
489	5118	5327
490	5128	5316
491	5138	5305
492	5148	5294
493	5158	5283
494	5168	5272
495	5179	5262
496	5189	5251
497	5198	5240
498	5208	5229
499	5218	5218
500	5228	5208
501	5239	5197
502	5249	5186
503	5259	5175
504	5269	5165
505	5280	5154
506	5290	5143
507	5299	5133
508	5310	5123
509	5321	5112
510	5332	5102
511	5342	5092
512	5353	5082
513	5363	5071
514	5373	5060
515	5384	5050
516	5394	5039
517	5404	5028
518	5414	5018
519	5424	5007
520	5434	4995
521	5443	4984
522	5453	4974
523	5463	4963
524	5474	4952
525	5485	4942
526	5495	4932
527	5506	4922
528	5517	4912
529	5527	4901
530	5537	4891
531	5547	4880
532	5557	4869
533	5567	4858
534	5577	4848
535	5587	4837
536	5597	4825
537	5606	4814
538	5616	4803
539	5626	4793
540	5636	4782
541	5646	4771
542	5657	4761
543	5667	4750
544	5677	4739
545	5687	4728
546	5697	4718
547	5707	4707
548	5717	4696
549	5727	4686
550	5737	4675
551	5747	4664
552	5757	4653
553	5767	4643
554	5777	4632
555	5787	4621
556	5796	4610
557	5807	4600
558	5817	4589
559	5827	4578
560	5837	4567
561	5847	4557
562	5857	4546
563	5867	4535
564	5877	4524
565	5887	4514
566	5897	4503
567	5906	4492
568	5916	4481
569	5926	4470
570	5936	4460
571	5946	4449
572	5957	4439
573	5966	4428
574	5977	4417
575	5987	4407
576	5997	4396
577	6007	4385
578	6016	4375
579	6027	4364
580	6036	4353
581	6046	4342
582	6056	4332
583	6066	4321
584	6076	4310
585	6086	4300
586	6097	4290
587	6108	4280
588	6118	4269
589	6128	4258
590	6138	4248
591	6148	4237
592	6158	4226
593	6167	4215
594	6177	4204
595	6187	4194
596	6197	4183
597	6208	4173
598	6217	4162
599	6227	4151
600	6238	4141
601	6248	4130
602	6257	4120
603	6268	4109
604	6278	4099
605	6288	4088
606	6298	4078
607	6309	4067
608	6319	4057
609	6329	4046
610	6340	4036
611	6350	4026
612	6360	4015
613	6369	4004
614	6380	3994
615	6390	3983
616	6400	3973
617	6411	3962
618	6420	3952
619	6430	3941
620	6440	3930
621	6465	3929
622	6475	3918
623	6485	3908
624	6496	3897
625	6507	3888
626	6518	3877
627	6528	3867
628	6539	3857
629	6549	3846
630	6560	3836
631	6570	3825
632	6580	3815
633	6590	3804
634	6600	3793
635	6610	3783
636	6620	3772
637	6630	3761
638	6640	3751
639	6650	3740
640	6659	3729
641	6669	3719
642	6679	3708
643	6689	3697
644	6699	3687
645	6708	3676
646	6718	3665
