iter	Logloss
0	0.6773411486
1	0.6619861984
2	0.6461670639
3	0.6327536848
4	0.6212617115
5	0.6117912292
6	0.6018417877
7	0.5911039837
8	0.5812825565
9	0.5733572782
10	0.5656107337
11	0.5585180006
12	0.5522491673
13	0.5445930406
14	0.5383424704
15	0.5322432127
16	0.5269822434
17	0.522124687
18	0.5172737659
19	0.5128121014
20	0.5085855352
21	0.5047234442
22	0.5013495456
23	0.4978815736
24	0.4939302918
25	0.4905744473
26	0.4872996646
27	0.4840221931
28	0.4799338961
29	0.4773911249
30	0.4748540063
31	0.4723367998
32	0.4703550202
33	0.4678740979
34	0.4643153448
35	0.4628530872
36	0.4605791211
37	0.4584132179
38	0.4564916444
39	0.454188396
40	0.4518587688
41	0.4492249664
42	0.4472743224
43	0.4455454018
44	0.4436743068
45	0.442238426
46	0.4407356959
47	0.4394058422
48	0.4377685936
49	0.4363039268
50	0.4348491542
51	0.4331282872
52	0.4316152033
53	0.430085512
54	0.4289189965
55	0.427622309
56	0.4258185138
57	0.4246150142
58	0.4233123809
59	0.4221652256
60	0.420982339
61	0.419934478
62	0.4191453772
63	0.4182716407
64	0.4174353949
65	0.4163634638
66	0.4152737909
67	0.4141894348
68	0.4132208097
69	0.4119725759
70	0.4108153843
71	0.4098774848
72	0.4090235474
73	0.4080527051
74	0.4069537751
75	0.4060849708
76	0.4052699288
77	0.4046541484
78	0.4035195366
79	0.4028791631
80	0.4021683688
81	0.401276907
82	0.400548498
83	0.399696433
84	0.3988954743
85	0.3981613766
86	0.3972194606
87	0.3961598141
88	0.3954539912
89	0.3946836541
90	0.3938261914
91	0.3932866901
92	0.392438189
93	0.3916545793
94	0.3907856809
95	0.3899586602
96	0.3892798753
97	0.3886609901
98	0.387981645
99	0.3872911023
100	0.3866520728
101	0.3858512
102	0.3853636526
103	0.3848630982
104	0.3841072984
105	0.3835318493
106	0.3827616779
107	0.382224869
108	0.3817261608
109	0.3810788557
110	0.3805230663
111	0.3799804596
112	0.379459925
113	0.3788482987
114	0.3781922123
115	0.3777629971
116	0.3770952188
117	0.3767174777
118	0.3761754152
119	0.3755566799
120	0.3750130515
121	0.3744034872
122	0.3739497499
123	0.3735436987
124	0.3730967332
125	0.3726253424
126	0.3723254208
127	0.37183336
128	0.3714743474
129	0.3711456513
130	0.3706024347
131	0.3701831439
132	0.3695647076
133	0.3692170236
134	0.3687337668
135	0.3681181217
136	0.3678238608
137	0.3674928754
138	0.3670977547
139	0.3669113698
140	0.3665561625
141	0.3663016427
142	0.3657942685
143	0.3652733822
144	0.3648702905
145	0.3646444253
146	0.3642677025
147	0.3639386197
148	0.3635542692
149	0.3632222087
150	0.3627872025
151	0.3624615982
152	0.3620331968
153	0.361751461
154	0.3614521068
155	0.3609748597
156	0.3604760099
157	0.3600145104
158	0.3595328954
159	0.3592558405
160	0.3590114284
161	0.3587898922
162	0.3585295964
163	0.3581608652
164	0.3577643857
165	0.3574372753
166	0.3571661311
167	0.356748573
168	0.3564628283
169	0.3560936671
170	0.3557614066
171	0.3555581419
172	0.3552564754
173	0.3549097493
174	0.3546760613
175	0.354349284
176	0.3541354843
177	0.3537087638
178	0.3533672059
179	0.35311026
180	0.3528065175
181	0.3525694826
182	0.3523326228
183	0.3520307811
184	0.3516784029
185	0.3513343839
186	0.3510519425
187	0.3507717392
188	0.3505737433
189	0.3503426494
190	0.3500914475
191	0.349840427
192	0.34961811
193	0.3493291927
194	0.3491062042
195	0.3489086073
196	0.3487370491
197	0.3484785476
198	0.3481565734
199	0.347882811
200	0.3476402354
201	0.3472142166
202	0.3469869201
203	0.3468084006
204	0.3466666688
205	0.346300937
206	0.3460331494
207	0.3458424639
208	0.3454767679
209	0.3452910916
210	0.3450467681
211	0.3449597568
212	0.3447236818
213	0.344376732
214	0.34411132
215	0.3438601254
216	0.3437046721
217	0.3434941016
218	0.3433500554
219	0.3431028017
220	0.3430187645
221	0.3427883394
222	0.342569712
223	0.3423741734
224	0.3421432477
225	0.3419753867
226	0.3418100452
227	0.3416932957
228	0.3414711896
229	0.3413101996
230	0.3411606236
231	0.3410593293
232	0.3408616264
233	0.3407317796
234	0.3405570421
235	0.3403813084
236	0.3401354291
237	0.3398558639
238	0.3397348399
239	0.3395489291
240	0.3393758832
241	0.3391480151
242	0.3388162188
243	0.3386109339
244	0.3383564599
245	0.3380774536
246	0.3378809827
247	0.3375676925
248	0.3373805282
249	0.3371442666
250	0.3369460906
251	0.3366501037
252	0.3365616264
253	0.3364196234
254	0.3363385534
255	0.3360810811
256	0.3359140944
257	0.3357019266
258	0.3355639951
259	0.335435213
260	0.3352388762
261	0.3351150626
262	0.3349470858
263	0.334724033
264	0.3345848548
265	0.3344220666
266	0.3342978936
267	0.3341383932
268	0.3339301452
269	0.3336414033
270	0.3334987451
271	0.3333316575
272	0.3331254
273	0.3330348182
274	0.3328251165
275	0.3326049193
276	0.3324240342
277	0.33228004
278	0.3320929108
279	0.3319742179
280	0.3317656965
281	0.3316365559
282	0.3314146878
283	0.3311359943
284	0.3309307536
285	0.3308333975
286	0.330716946
287	0.3305853523
288	0.3303803885
289	0.3301652243
290	0.3300188537
291	0.3298697041
292	0.3296912204
293	0.3295283279
294	0.3293156374
295	0.3291776452
296	0.3290183154
297	0.3288373088
298	0.3286505208
299	0.328410428
300	0.3281446758
301	0.3279780714
302	0.3277822556
303	0.3276370632
304	0.3274292961
305	0.3273327003
306	0.3271788368
307	0.3269799947
308	0.3268427362
309	0.3267043901
310	0.3265922598
311	0.3264415655
312	0.3262872371
313	0.3260958846
314	0.3259698916
315	0.3258192271
316	0.3257067889
317	0.3256138528
318	0.3253428076
319	0.3252207862
320	0.3250836558
321	0.3249544437
322	0.3247912519
323	0.3246519731
324	0.3244589635
325	0.3243270079
326	0.3241926629
327	0.3240155411
328	0.3238673137
329	0.3237225933
330	0.32360928
331	0.3235036234
332	0.3233852776
333	0.3232305256
334	0.3231121402
335	0.3229794175
336	0.3228179435
337	0.3226689311
338	0.3224430963
339	0.3222862328
340	0.3220877208
341	0.3219732433
342	0.3218589555
343	0.3217156491
344	0.3216277138
345	0.3215020551
346	0.3214130922
347	0.3212839772
348	0.3211670369
349	0.3210565958
350	0.3209350987
351	0.3208219573
352	0.3206390039
353	0.3205156794
354	0.3203909708
355	0.3202623203
356	0.3201643447
357	0.3200396273
358	0.3199029155
359	0.3197713662
360	0.3196265823
361	0.3195118664
362	0.3193663533
363	0.3192134101
364	0.3190923466
365	0.3188869278
366	0.318781416
367	0.3186271517
368	0.3184923793
369	0.318382463
370	0.3182827459
371	0.3181609862
372	0.3180452151
373	0.3179261707
374	0.3178199837
375	0.3177241025
376	0.3175685999
377	0.3174262993
378	0.317310181
379	0.3171998405
380	0.3170774126
381	0.316924583
382	0.3168091673
383	0.3166763784
384	0.316560264
385	0.3164565147
386	0.3163272329
387	0.3162367122
388	0.3160547851
389	0.3159053521
390	0.3157931345
391	0.3156511748
392	0.3155067503
393	0.3153722094
394	0.3152566744
395	0.315129667
